user,location,tweet,Tweet_punct
reaISteveBannon,"Washington, DC","@realDonaldTrump I’m the one who got the DOW over 20,000.",realDonaldTrump I’m the one who got the DOW over 
ssposey12,,RT @GIOVANNITONY666: @realDonaldTrump @ShannonBream @FoxNews @DEMOCRATIC craziness in motion https://t.co/Fl1A3pBj1q,RT GIOVANNITONY realDonaldTrump ShannonBream FoxNews DEMOCRATIC craziness in motion httpstcoFlApBjq
nathani18903977,,RT @murray_nyc: @realDonaldTrump Trump's insults are so shameful and juvenile. And his lying is pathological. Democrats will now control th…,RT murraynyc realDonaldTrump Trumps insults are so shameful and juvenile And his lying is pathological Democrats will now control th…
nathani18903977,,"RT @murray_nyc: @realDonaldTrump TRUMP'S LEGACY

* one term impeached president who twice lost the popular vote
* contributed to the GOP lo…","RT murraynyc realDonaldTrump TRUMPS LEGACY

 one term impeached president who twice lost the popular vote
 contributed to the GOP lo…"
themoxielady,Merica baby! ,"RT @studentduckL40: @realDonaldTrump Well, now he's accusing you of pressuring him to find ballots that would give you victory. Apparently,…",RT studentduckL realDonaldTrump Well now hes accusing you of pressuring him to find ballots that would give you victory Apparently…
sl0wlettuce,Dallas,RT @melaninkpoppin: @realDonaldTrump EVERYONE who broke into and damaged anything at the capitol deserves “MINIMUM TEN YEARS IN PRISON” for…,RT melaninkpoppin realDonaldTrump EVERYONE who broke into and damaged anything at the capitol deserves “MINIMUM TEN YEARS IN PRISON” for…
GIOVANNITONY666,,"RT @GIOVANNITONY666: @realDonaldTrump @ITALYFORRTRUMP 
Will be rocket fuel in your tanks ....👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 https://t.co/cmMDorErRl","RT GIOVANNITONY realDonaldTrump ITALYFORRTRUMP 
Will be rocket fuel in your tanks 👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇👇 httpstcocmMDorErRl"
QnkomVlArJFvuqt,,"RT @IndigenousDancy: @realDonaldTrump .@realDonaldTrump a failure who never has or will have &amp;/or be:
• Noble Peace Prize
• Oscar 
• 2 Gram…","RT IndigenousDancy realDonaldTrump realDonaldTrump a failure who never has or will have ampor be
• Noble Peace Prize
• Oscar 
•  Gram…"
GIOVANNITONY666,,RT @GIOVANNITONY666: @realDonaldTrump @ShannonBream @FoxNews @DEMOCRATIC craziness in motion https://t.co/Fl1A3pBj1q,RT GIOVANNITONY realDonaldTrump ShannonBream FoxNews DEMOCRATIC craziness in motion httpstcoFlApBjq
Graf_Zapolya,,RT @priesterspr: @realDonaldTrump This is a Planet Lockdown. They wants to make to 7.5 Billions of souls that GOD is not with us! He is pre…,RT priesterspr realDonaldTrump This is a Planet Lockdown They wants to make to  Billions of souls that GOD is not with us He is pre…
Graf_Zapolya,,RT @janeluhr: @realDonaldTrump You are being set up - Eve. To this day! Antifa and BLM attacked the capitol building. Videos of police help…,RT janeluhr realDonaldTrump You are being set up  Eve To this day Antifa and BLM attacked the capitol building Videos of police help…
SECURlTYCHECKER,Russia,@realDonaldTrump Thank you for showing how Corrupt @twitter and @Facebook .Now we are gonna have a pedophile in office @JoeBiden .,realDonaldTrump Thank you for showing how Corrupt twitter and Facebook Now we are gonna have a pedophile in office JoeBiden 
Graf_Zapolya,,"RT @aelaineo: @realDonaldTrump Here’s your people, wearing your hats, flying your flag, breaking in violently and NOT GETTING SHOT https://…",RT aelaineo realDonaldTrump Here’s your people wearing your hats flying your flag breaking in violently and NOT GETTING SHOT https…
Graf_Zapolya,,RT @LugaliaAndega: @realDonaldTrump Can you identify these GOONS? They just spoilt everything for you. https://t.co/VGysU97zfk,RT LugaliaAndega realDonaldTrump Can you identify these GOONS They just spoilt everything for you httpstcoVGysUzfk
LibelTrump,"New York, NY",@RealDonaldTrump blushes whenever MSM says his name @MSNBC,RealDonaldTrump blushes whenever MSM says his name MSNBC
TerrorBilly777,𝐔𝐍𝐈𝐓𝐄⁷⁷⁷,"RT @STARSCORPIOBABE: @realDonaldTrump

PERMANENTLY. FUCKING. SUSPENDED. 

Can I get a:

         HELL, YEAH!!!??? https://t.co/lpmWfbCiA1","RT STARSCORPIOBABE realDonaldTrump

PERMANENTLY FUCKING SUSPENDED 

Can I get a

         HELL YEAH httpstcolpmWfbCiA"
Graf_Zapolya,,RT @its_menieb: @realDonaldTrump This is Trump’s fault https://t.co/GMOKPbRnf0,RT itsmenieb realDonaldTrump This is Trump’s fault httpstcoGMOKPbRnf
Graf_Zapolya,,RT @philabouzeid: @realDonaldTrump Do they seem to you holding their mobiles and waiting for your tweets ?? https://t.co/9i7yXAX7z3,RT philabouzeid realDonaldTrump Do they seem to you holding their mobiles and waiting for your tweets  httpstcoiyXAXz
Graf_Zapolya,,"RT @MamaMoJacobson: @realDonaldTrump True Patriots would not act in disrespect. These are Antifa in Patriots clothes!
Look closely: https:/…","RT MamaMoJacobson realDonaldTrump True Patriots would not act in disrespect These are Antifa in Patriots clothes
Look closely https…"
IsItGreatYetBot,white house basement,@realDonaldTrump @POTUS Is America great again?,realDonaldTrump POTUS Is America great again
Kendo38383612,"Ashford, England",RT @Squints20_: @realDonaldTrump Well Trump it’s been an great 4 years. Now we’re fucked,RT Squints realDonaldTrump Well Trump it’s been an great  years Now we’re fucked
djfreeley,,"RT @djfreeley: @realDonaldTrump Planning a coup ? Isn't that seditious and treasonous,  does America still have the death penalty for such…",RT djfreeley realDonaldTrump Planning a coup  Isnt that seditious and treasonous  does America still have the death penalty for such…
Graf_Zapolya,,"RT @Nanamamax4: @realDonaldTrump We love you Mr. Trump! Thank you for fighting so hard for our freedom ! 
God bless American!!
God bless yo…","RT Nanamamax realDonaldTrump We love you Mr Trump Thank you for fighting so hard for our freedom  
God bless American
God bless yo…"
brandonMaupin5,usa,"RT @ScottPresler: @realDonaldTrump Here’s video proof that ventilators were delivered to New York 

&amp; Governor Cuomo kept them unused in a…","RT ScottPresler realDonaldTrump Here’s video proof that ventilators were delivered to New York 

amp Governor Cuomo kept them unused in a…"
BYEDON202016,,RT @tokyo_jon: @realDonaldTrump Attn: All #MAGA who attend this #SuperSpreaderEvent. Leave your masks at home. Loud singing. And don’t forg…,RT tokyojon realDonaldTrump Attn All MAGA who attend this SuperSpreaderEvent Leave your masks at home Loud singing And don’t forg…
BYEDON202016,,RT @Amantegi: @realDonaldTrump Congratulations 🎊🎊 https://t.co/7CTEdKmhdF,RT Amantegi realDonaldTrump Congratulations 🎊🎊 httpstcoCTEdKmhdF
newsfeed_2020,,RT @LiberalsUSAMAGA: @realDonaldTrump I hope they come to the table with love in their hearts❤Trump has shown them infinite love and I pray…,RT LiberalsUSAMAGA realDonaldTrump I hope they come to the table with love in their hearts❤Trump has shown them infinite love and I pray…
JayDPayne,denver colorado,@realDonaldTrump @FLOTUS @vp @IvankaTrump @tedcruz @gop @DonaldJTrumpJr @senatemajldr @LindseyGrahamSC IT BECOMES A… https://t.co/PuoM80dNT1,realDonaldTrump FLOTUS vp IvankaTrump tedcruz gop DonaldJTrumpJr senatemajldr LindseyGrahamSC IT BECOMES A… httpstcoPuoMdNT
THE_George_Carr,,@realDonaldTrump Well...bye.,realDonaldTrump Wellbye
reaISteveBannon,"Washington, DC",@realDonaldTrump “President Steve Bannon.” I like the sound of that.,realDonaldTrump “President Steve Bannon” I like the sound of that
CWalkerMPH,USA,RT @funmusikgirl: @realDonaldTrump Why are stores refusing cash ? They say there is a coin shortage! What's really going on? isnt our money…,RT funmusikgirl realDonaldTrump Why are stores refusing cash  They say there is a coin shortage Whats really going on isnt our money…
dukecitythree,"Colorado, USA","RT @ReportsDaNews: @realDonaldTrump Did you hear it? Did you hear the chants?

You about to lose yo job

And go to jail. https://t.co/3Gq8c…","RT ReportsDaNews realDonaldTrump Did you hear it Did you hear the chants

You about to lose yo job

And go to jail httpstcoGqc…"
VeritasEver, ,RT @maura_resister: @realDonaldTrump Facebook has locked his account for the next 2 weeks.  Instagram has banned him permanently and why is…,RT mauraresister realDonaldTrump Facebook has locked his account for the next  weeks  Instagram has banned him permanently and why is…
